Brand,Type,Gender,Color,Price,Ship To,Date Listed,Date Sold,Sample
Adidas,Sneakers,Men,Black,50,AZ,2026-01-15,2026-01-22,yes
Zara,Dress,Women,Red,30,MI,2026-02-05,2026-02-25,yes
Madewell,Jeans,Women,Blue,34,CA,2026-03-01,2026-03-04,yes
Patagonia,Jacket,Unisex,Green,80,WA,2026-01-25,2026-02-28,yes
The North Face,Coat,Men,Black,95,NY,2026-04-10,2026-07-01,yes
Nike,T-Shirt,Men,Grey,15,TX,2026-05-01,2026-05-06,yes
Free People,Skirt,Women,Beige,26,FL,2026-02-20,2026-03-15,yes
Coach,Boots,Women,Brown,88,IL,2026-06-10,2026-06-18,yes
Carhartt,T-Shirt,Men,Olive,18,OH,2026-03-15,2026-03-19,yes
Lululemon,Jacket,Women,Black,60,CA,2026-07-01,2026-07-10,yes
Levi's,Skirt,Women,Blue,20,NY,2026-04-05,2026-05-01,yes
