Brand,Type,Gender,Color,Price,Ship To,Date Listed,Date Sold,Sample
Nike,Sneakers,Women,White,58,CA,2026-01-10,2026-01-14,yes
Free People,Dress,Women,Green,42,NY,2026-02-02,2026-02-20,yes
Coach,Handbag,Women,Brown,135,TX,2026-01-20,2026-04-01,yes
Levi's,Jeans,Men,Blue,38,FL,2026-03-05,2026-03-10,yes
Lululemon,Leggings,Women,Black,45,WA,2026-02-15,2026-02-19,yes
Anthropologie,Blouse,Women,Pink,28,IL,2026-04-01,2026-05-15,yes
Carhartt,Jacket,Men,Beige,65,PA,2026-01-05,2026-03-30,yes
Zara,Skirt,Women,Multicolor,22,GA,2026-05-10,2026-05-14,yes
Ralph Lauren,Sweater,Men,Navy,40,NC,2026-03-20,2026-04-25,yes
J.Crew,Coat,Women,Grey,70,MA,2026-02-10,2026-06-01,yes
Vans,Sneakers,Kids,White,24,CO,2026-06-01,2026-06-05,yes
